id,lat,lon,user,uid,version,changeset,timestamp
122613712,33.6861319,-117.8213616,jumbanho,38487,5,12419412,2012-07-21T20:24:27Z
122614364,33.6436576,-117.8328994,Aaron Lidman,53073,6,13433010,2012-10-09T20:43:39Z
122614483,33.7325755,-117.7910934,The Temecula Mapper,313196,4,12494892,2012-07-26T06:21:39Z
122614573,33.5948374,-117.7062954,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:17:48Z
122614728,33.7396638,-117.8489095,dale_p,60110,5,13030023,2012-09-08T04:47:35Z
122614923,33.6778293,-117.7514037,ponzu,101657,4,7319875,2011-02-18T07:48:09Z
122615365,33.6347646,-117.8168391,Evanator,451067,6,12425582,2012-07-22T06:08:19Z
122615484,33.6680068,-117.7530249,woodpeck_fixbot,147510,4,3562701,2010-01-07T15:18:02Z
122615755,33.617224,-117.7182271,woodpeck_fixbot,147510,5,3562701,2010-01-07T15:18:06Z
122616002,33.6035579,-117.7440239,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:18:09Z
122616142,33.7519356,-117.836678,SJFriedl,2709708,7,38032849,2016-03-24T04:05:13Z
122616611,33.6818063,-117.7911696,ponzu,101657,4,7990047,2011-04-27T22:23:06Z
122616807,33.7207761,-117.7940946,Brian@Brea,416346,9,16737246,2013-06-28T09:51:07Z
122616955,33.6916196,-117.7670187,AM909,82317,5,4674724,2010-05-12T06:58:15Z
122617536,33.6333219,-117.8823218,Aaron Lidman,53073,3,27935178,2015-01-05T15:22:04Z
122617792,33.7791904,-117.8629234,Evanator,451067,5,12444006,2012-07-23T04:29:01Z
122618378,33.6436719,-117.8050964,techlady,104962,4,5200933,2010-07-12T17:58:58Z
122618448,33.6330416,-117.7047145,SJFriedl,2709708,4,31386608,2015-05-22T23:17:37Z
122618667,33.6999948,-117.7970374,ponzu,101657,4,7980889,2011-04-27T01:20:01Z
122618755,33.6120158,-117.7475714,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:18:58Z
122618782,33.610112,-117.7494026,ponzu,101657,4,12168151,2012-07-09T23:41:51Z
122619017,33.7086866,-117.8691149,karitotp,2748195,6,32473961,2015-07-07T15:01:32Z
122619223,33.6764183,-117.7886985,dchiles,153669,5,13173399,2012-09-19T17:53:00Z
122619630,33.6786536,-117.7188659,beweta,152074,4,40619590,2016-07-09T21:10:22Z
122619907,33.6102073,-117.7405247,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:19:18Z
122620078,33.7397785,-117.7901164,Aaron Lidman,53073,4,14156818,2012-12-04T21:24:06Z
122620692,33.654029,-117.6945864,SJFriedl,2709708,4,30490901,2015-04-26T05:04:18Z
122620748,33.621369,-117.7090483,SJFriedl,2709708,5,31348079,2015-05-21T16:47:39Z
122621063,33.7831451,-117.7848192,lyx,28237,4,13840029,2012-11-11T21:43:37Z
122621189,33.6295124,-117.7361645,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:19:41Z
122621215,33.6291837,-117.7391171,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:19:42Z
122621513,33.7737483,-117.8484118,Aaron Lidman,53073,4,13837837,2012-11-11T19:21:47Z
122621826,33.7079213,-117.7786411,Sundance,239998,4,5020429,2010-06-19T00:15:29Z
122621864,33.6822057,-117.741952,SJFriedl,2709708,5,31571823,2015-05-29T20:32:38Z
122621928,33.6485425,-117.6872956,Chris Bell in California,194231,6,12358230,2012-07-20T02:33:30Z
122622012,33.6274725,-117.6631144,z-dude,135851,6,12444514,2012-07-23T06:05:03Z
122622055,33.6785547,-117.7163611,beweta,152074,6,40619590,2016-07-09T21:10:22Z
122622355,33.7226672,-117.7551012,SJFriedl,2709708,6,35954978,2015-12-14T21:20:34Z
122622565,33.7862142,-117.7881443,SJFriedl,2709708,5,37774768,2016-03-11T23:12:25Z
122622589,33.7879066,-117.7801618,SJFriedl,2709708,4,37775620,2016-03-12T00:41:19Z
122622609,33.7882343,-117.7686154,AM909,82317,4,11475465,2012-05-02T00:48:16Z
122622634,33.7850752,-117.7591326,AM909,82317,4,11475465,2012-05-02T00:48:16Z
122622791,33.6361245,-117.6846741,SJFriedl,2709708,9,31062502,2015-05-12T18:47:10Z
122623011,33.6282584,-117.7270417,happy5214,199837,5,12315871,2012-07-19T09:22:00Z
122623363,33.6801825,-117.8494791,Aaron Lidman,53073,6,16301005,2013-05-26T21:25:28Z
122623406,33.6412501,-117.6977383,SJFriedl,2709708,4,30889316,2015-05-08T01:18:09Z
122623790,33.646499,-117.7244561,SJFriedl,2709708,7,34379904,2015-10-02T00:30:14Z
122623817,33.6381636,-117.7140217,SJFriedl,2709708,7,31380816,2015-05-22T19:05:23Z
122623846,33.6267101,-117.7019714,SJFriedl,2709708,6,31210688,2015-05-16T19:49:31Z
122623875,33.6171227,-117.6926378,samely,2512300,8,37693091,2016-03-08T18:59:35Z
122623908,33.606809,-117.683134,samely,2512300,5,37556334,2016-03-01T22:16:37Z
122624000,33.7551608,-117.8381234,Aaron Lidman,53073,5,13837837,2012-11-11T19:21:47Z
122624227,33.7366119,-117.8251218,SJFriedl,2709708,5,37804564,2016-03-13T17:53:06Z
122624520,33.7569384,-117.7700375,Aaron Lidman,53073,7,12398184,2012-07-21T01:55:27Z
122624703,33.6366372,-117.8043086,Chris Bell in California,194231,7,12442268,2012-07-22T23:51:22Z
122624773,33.7463789,-117.784158,SJFriedl,2709708,4,29530553,2015-03-17T00:00:19Z
122624865,33.637485,-117.8197096,Evanator,451067,5,12425582,2012-07-22T06:08:19Z
122624889,33.6355258,-117.7095073,SJFriedl,2709708,5,32227996,2015-06-26T15:40:48Z
122625096,33.6129982,-117.8374924,Brian@Brea,416346,5,29295275,2015-03-06T18:36:00Z
122625299,33.5999469,-117.662325,SJFriedl,2709708,3,29145826,2015-02-27T22:13:49Z
122625608,33.5912824,-117.7354108,woodpeck_fixbot,147510,5,3562701,2010-01-07T15:21:18Z
122625834,33.6137221,-117.6737033,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:21:23Z
122625853,33.6142654,-117.6657726,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:21:23Z
122625904,33.6386288,-117.7988561,techlady,104962,5,5193305,2010-07-11T19:02:39Z
122625930,33.6360518,-117.7988508,techlady,104962,5,5193305,2010-07-11T19:02:43Z
122625954,33.635531,-117.8013231,techlady,104962,5,5193181,2010-07-11T18:48:03Z
122625985,33.6356966,-117.7996923,jumbanho,38487,6,12431498,2012-07-22T12:03:33Z
122626178,33.645309,-117.8196886,Evanator,451067,5,12425582,2012-07-22T06:29:50Z
122626340,33.713657,-117.8308932,Aaron Lidman,53073,6,16301005,2013-05-26T21:04:33Z
122626515,33.701887,-117.881205,ivansanchez,5265,5,13679530,2012-10-29T21:25:18Z
122626611,33.7865073,-117.7607171,AM909,82317,5,4818834,2010-05-27T03:51:54Z
122626682,33.6912046,-117.8314804,SJFriedl,2709708,6,40029575,2016-06-15T02:20:49Z
122626923,33.7772251,-117.8157163,SJFriedl,2709708,5,38027412,2016-03-23T19:46:47Z
122627004,33.7449197,-117.7825492,Chris Bell in California,194231,3,4389646,2010-04-11T07:13:07Z
122627236,33.7711148,-117.7829001,SJFriedl,2709708,4,37771076,2016-03-11T20:11:05Z
122627636,33.6318437,-117.7009707,SJFriedl,2709708,4,31299580,2015-05-19T21:54:16Z
122627803,33.7829815,-117.7777365,lyx,28237,4,13840029,2012-11-11T21:43:37Z
122627863,33.7444866,-117.8596283,SJFriedl,2709708,6,38032987,2016-03-24T04:27:11Z
122628108,33.7801434,-117.8386489,Chris Bell in California,194231,3,4986173,2010-06-14T08:50:59Z
122628180,33.7672138,-117.7891237,SJFriedl,2709708,4,37773184,2016-03-11T21:19:43Z
122628526,33.5849191,-117.7025829,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:22:19Z
122628837,33.7672982,-117.8560124,dchiles,153669,7,13338269,2012-10-02T18:15:52Z
122628883,33.7301135,-117.8002277,SJFriedl,2709708,5,39189407,2016-05-08T20:48:44Z
122629226,33.5843495,-117.7336786,ponzu,101657,7,7242040,2011-02-10T02:06:24Z
122629338,33.7807174,-117.8109542,marawynn,446320,4,7998056,2011-04-28T20:05:12Z
122629357,33.7819621,-117.8106985,Chris Bell in California,194231,3,4991590,2010-06-14T21:09:38Z
122630110,33.6909937,-117.8117781,Biff,329453,6,16564537,2013-06-15T15:43:38Z
122630446,33.6262977,-117.8557305,Mathieu Marquer,53964,6,35020135,2015-11-01T20:14:25Z
122630502,33.598362,-117.7221483,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:23:03Z
122630533,33.5927926,-117.7208609,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:23:04Z
122630561,33.5889246,-117.7188353,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:23:05Z
122630585,33.5836347,-117.7150381,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:23:06Z
122631091,33.6834299,-117.7955214,ediyes,1240849,8,31754889,2015-06-05T20:13:49Z
122631322,33.6540297,-117.83841,Rockear,725620,6,12442615,2012-07-23T00:50:34Z
122631434,33.6459868,-117.6801339,jerjozwik,36489,7,12417934,2012-07-21T19:04:03Z
122631805,33.739503,-117.8605727,SJFriedl,2709708,5,38032987,2016-03-24T04:27:11Z
122632082,33.633441,-117.680905,SJFriedl,2709708,7,31155603,2015-05-14T22:09:58Z
122632664,33.6490169,-117.8007038,Chris Bell in California,194231,7,12441513,2012-07-22T23:29:14Z
122632734,33.7254222,-117.7575844,SJFriedl,2709708,6,30873377,2015-05-07T13:13:00Z
122632772,33.5866944,-117.7087765,calfarome,2511706,5,31829846,2015-06-08T21:30:03Z
122632807,33.6315232,-117.6917308,SJFriedl,2709708,4,31157533,2015-05-15T00:23:47Z
122632931,33.7656577,-117.83192,Brian@Brea,416346,7,19267826,2013-12-04T08:49:59Z
122632962,33.7653676,-117.8463582,StellanL,28775,5,12831668,2012-08-23T12:27:03Z
122633115,33.6159741,-117.6908581,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:24:00Z
122633153,33.6314615,-117.6593932,woodpeck_fixbot,147510,3,3562701,2010-01-07T15:24:01Z
122633586,33.6483424,-117.8323008,samely,2512300,8,37595677,2016-03-03T20:10:22Z
122633637,33.708563,-117.7769087,ponzu,101657,5,7921952,2011-04-21T04:51:28Z
122633673,33.6884937,-117.8095733,woodpeck_fixbot,147510,4,3562701,2010-01-07T15:24:10Z
122633820,33.749313,-117.8019319,SJFriedl,2709708,5,38012468,2016-03-23T03:57:04Z
122634239,33.6657506,-117.6835584,AM909,82317,4,4872206,2010-06-01T07:07:53Z
122634645,33.5870284,-117.6999908,ChrisZontine,1376118,4,29280350,2015-03-06T01:22:27Z
122634778,33.7572719,-117.7813955,SJFriedl,2709708,5,37771076,2016-03-11T20:11:05Z
