id,key,value,type
6144264,cfcc,A41,tiger
6144264,county,"Prince George's, MD",tiger
6144264,reviewed,no,tiger
6144264,zip_left,20785,tiger
6144264,name_base,Muncy,tiger
6144264,name_type,Rd,tiger
6144264,zip_right,20785,tiger
6145050,name,Cretia Place,regular
6145050,highway,residential,regular
6145050,cfcc,A41,tiger
6145050,county,"Prince George's, MD",tiger
6145050,reviewed,no,tiger
6145050,zip_left,20774,tiger
6145050,name_base,Cretia,tiger
6145050,name_type,Pl,tiger
6145050,zip_right,20774,tiger
6145610,highway,service,regular
6145610,cfcc,A41,tiger
6145610,tlid,189859056,tiger
6145610,county,"Spokane, WA",tiger
6145610,source,tiger_import_dch_v0.6_20070830,tiger
6145610,reviewed,no,tiger
6145610,separated,no,tiger
6145610,upload_uuid,bulk_upload.pl-33ce7e2d-fbea-4065-82d4-daf5718f1714,tiger
6337670,landuse,residential,regular
6360378,name,Het Slag,regular
6360378,highway,unclassified,regular
6415067,name,E E G laan,regular
6415067,highway,residential,regular
6415067,maxspeed,30,regular
6461048,name,Dorth,regular
6461048,highway,unclassified,regular
6620248,name,Schelphoek,regular
6620248,highway,unclassified,regular
6801867,ref,N752,regular
6801867,oneway,yes,regular
6801867,bicycle,no,regular
6801867,highway,secondary,regular
6801867,junction,roundabout,regular
6801867,maxspeed,50,regular
6973254,name,Rietgans,regular
6973254,moped,no,regular
6973254,oneway,-1,regular
6973254,highway,cycleway,regular
6973254,traffic_sign,NL:G11,regular
7033097,name,Bierweg,regular
7033097,highway,unclassified,regular
7203029,name,Willem Bilderdijkdreef,regular
7203029,highway,unclassified,regular
7275816,name,Kwakerpad,regular
7275816,highway,unclassified,regular
7364738,name,Prunuslaan,regular
7364738,highway,unclassified,regular
7364738,maxspeed,30,regular
7757856,name,Laird Alley,regular
7757856,highway,residential,regular
7757856,cfcc,A41,tiger
7757856,county,"Jefferson, AL",tiger
7757856,reviewed,no,tiger
7757856,name_base,Laird,tiger
7757856,name_type,Aly,tiger
7770218,ref,CR 222,regular
7770218,name,County Road 222,regular
7770218,highway,unclassified,regular
7770218,surface,unpaved,regular
7770218,cfcc,A41,tiger
7770218,county,"Lawrence, AL",tiger
7770218,reviewed,no,tiger
7770218,zip_left,35643,tiger
7770218,name_base,County Road 222,tiger
7770218,zip_right,35643,tiger
7771302,name,County Road 120,regular
7771302,highway,residential,regular
7771302,cfcc,A41,tiger
7771302,tlid,41393679:41382324:41382463,tiger
7771302,county,"Lawrence, AL",tiger
7771302,source,tiger_import_dch_v0.6_20070808,tiger
7771302,reviewed,no,tiger
7771302,zip_left,35650,tiger
7771302,name_base,County Road 120,tiger
7771302,separated,no,tiger
7771302,zip_right,35650,tiger
7771302,upload_uuid,bulk_upload.pl-6fe1fa0f-41e5-41e1-8027-e7cf1375549e,tiger
7777191,name,Granville Avenue,regular
7777191,highway,residential,regular
7777191,cfcc,A41,tiger
7777191,county,"Jefferson, AL",tiger
7777191,reviewed,no,tiger
7777191,zip_left,35020,tiger
